Fecha,Indices
ene-82,0.068104648
feb-82,0.069905125
mar-82,0.071801423
abr-82,0.07530774
may-82,0.079431566
jun-82,0.083601528
jul-82,0.087250984
ago-82,0.103080278
sep-82,0.107725794
oct-82,0.112559401
nov-82,0.11691982
dic-82,0.138720737
ene-83,0.14938401
feb-83,0.153886386
mar-83,0.159952646
abr-83,0.172796129
may-83,0.178625795
jun-83,0.182653801
jul-83,0.193507532
ago-83,0.201754001
sep-83,0.20834195
oct-83,0.216397961
nov-83,0.235260385
dic-83,0.242228067
ene-84,0.254834956
feb-84,0.271706445
mar-84,0.282986044
abr-84,0.302796026
may-84,0.317346532
jun-84,0.328057123
jul-84,0.336066999
ago-84,0.340189643
sep-84,0.348673889
oct-84,0.365261465
nov-84,0.37587742
dic-84,0.392085264
ene-85,0.434597583
feb-85,0.454550703
mar-85,0.469527078
abr-85,0.477535771
may-85,0.486730981
jun-85,0.494976267
jul-85,0.504171477
ago-85,0.520617098
sep-85,0.536399073
oct-85,0.555450772
nov-85,0.574265877
dic-85,0.632370897
ene-86,0.707536681
feb-86,0.741280841
mar-86,0.779242283
abr-86,0.82753695
may-86,0.872417571
jun-86,0.928437018
jul-86,0.97692096
ago-86,1.102086067
sep-86,1.170996316
oct-86,1.237395124
nov-86,1.326115354
dic-86,1.424978352
ene-87,1.524172581
feb-87,1.630571084
mar-87,1.732560666
abr-87,1.921329228
may-87,2.078106788
jun-87,2.24071283
jul-87,2.405216354
ago-87,2.623225517
sep-87,2.770381999
oct-87,2.947965599
nov-87,3.117775916
dic-87,3.646259751
ene-88,4.37768292
feb-88,4.70370179
mar-88,4.82583495
abr-88,4.886166316
may-88,4.901522423
jun-88,4.922990925
jul-88,4.97739917
ago-88,4.996023817
sep-88,4.977066756
oct-88,5.022564886
nov-88,5.086498389
dic-88,5.162091224
ene-89,5.303554081
feb-89,5.32031792
mar-89,5.339299823
abr-89,5.379113793
may-89,5.394503023
jun-89,5.420300005
jul-89,5.438693974
ago-89,5.460113974
sep-89,5.505478429
oct-89,5.622653771
nov-89,5.694248174
dic-89,5.956694346
ene-90,6.41213819
feb-90,6.493319366
mar-90,6.554593557
abr-90,6.649939591
may-90,6.784976566
jun-90,7.037553236
jul-90,7.16312765
ago-90,7.289990316
sep-90,7.35352161
oct-90,7.459035253
nov-90,7.712320521
dic-90,7.960430305
ene-91,8.184915035
feb-91,8.325106201
mar-91,8.448091098
abr-91,8.476227991
may-91,8.515230444
jun-91,8.576747144
jul-91,8.631418007
ago-91,8.682713864
sep-91,8.742217152
oct-91,8.850226858
nov-91,9.362474457
dic-91,9.737514335
ene-92,9.83674287
feb-92,9.87898429
mar-92,9.928318785
abr-92,9.951411503
may-92,10.02488091
jun-92,10.1116386
jul-92,10.18343647
ago-92,10.2643917
sep-92,10.32070097
oct-92,10.38958638
nov-92,10.43979391
dic-92,10.52417028
ene-93,10.65657752
feb-93,10.76179897
mar-93,10.85937253
abr-93,10.91334662
may-93,10.95047171
jun-93,10.97799582
jul-93,11.04275267
ago-93,11.11021852
sep-93,11.15016025
oct-93,11.21409612
nov-93,11.25986633
dic-93,11.31682032
ene-94,11.43123816
feb-94,11.5260838
mar-94,11.62484388
abr-94,11.69293197
may-94,11.73908783
jun-94,11.78832532
jul-94,11.8445092
ago-94,11.90234332
sep-94,11.97689633
oct-94,12.06596435
nov-94,12.13020661
dic-94,12.23372695
ene-95,12.7845121
feb-95,13.3343556
mar-95,14.52424391
abr-95,16.03998075
may-95,16.61726911
jun-95,17.04893412
jul-95,17.38063833
ago-95,17.62492121
sep-95,17.93757964
oct-95,18.30264355
